parameter,value,configurations,all_held_out_completed_count,all_held_out_completed_fraction,simulation_attempts,completed_simulations,simulation_completion_fraction
degree,1,72,72,1.0,648,648,1.0
degree,2,72,34,0.4722222222222222,648,499,0.7700617283950617
degree,3,72,26,0.3611111111111111,648,353,0.5447530864197531
lowpass_hz,35.0,108,67,0.6203703703703703,972,757,0.7788065843621399
lowpass_hz,80.0,108,65,0.6018518518518519,972,743,0.76440329218107
n_delays,2,54,50,0.9259259259259259,486,480,0.9876543209876543
n_delays,4,54,31,0.5740740740740741,486,361,0.742798353909465
n_delays,6,54,27,0.5,486,367,0.7551440329218106
n_delays,8,54,24,0.4444444444444444,486,292,0.6008230452674898
delay_samples,1,72,46,0.6388888888888888,648,474,0.7314814814814815
delay_samples,2,72,46,0.6388888888888888,648,508,0.7839506172839507
delay_samples,5,72,40,0.5555555555555556,648,518,0.7993827160493827
smooth_window_samples,0,72,46,0.6388888888888888,648,521,0.8040123456790124
smooth_window_samples,5,72,44,0.6111111111111112,648,498,0.7685185185185185
smooth_window_samples,9,72,42,0.5833333333333334,648,481,0.7422839506172839
nonzero_terms,6,18,18,1.0,162,162,1.0
nonzero_terms,12,18,14,0.7777777777777778,162,156,0.9629629629629629
nonzero_terms,20,36,36,1.0,324,324,1.0
nonzero_terms,42,18,18,1.0,162,162,1.0
nonzero_terms,60,18,9,0.5,162,127,0.7839506172839507
nonzero_terms,72,18,18,1.0,162,162,1.0
nonzero_terms,140,18,4,0.2222222222222222,162,72,0.4444444444444444
nonzero_terms,168,18,5,0.2777777777777778,162,136,0.8395061728395061
nonzero_terms,360,18,6,0.3333333333333333,162,80,0.49382716049382713
nonzero_terms,504,18,4,0.2222222222222222,162,69,0.42592592592592593
nonzero_terms,1320,18,0,0.0,162,50,0.30864197530864196
